StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
2935,  4205,  5129,, ,,,0.89454395,+43.36370529,44.6229361892012, 7.19,3.94220928267531,G0          , 0.622
2936,  4207,  5181,, ,,,0.89479858,-04.52557954,143.884892086331, 6.53,0.73992402295057,G5          , 0.991
2938,  4209,  5202,, ,,,0.89504457,-13.92028251,354.609929078014, 7.48,-0.268754458403193,G8III/IV    , 0.944
2940,  4212,  5128, 250,,          , ,0.89653528,+52.68934453,85.3242320819113, 6.27,1.61463805841036,A5m         , 0.191
2945,  4220,  5164,, ,,,0.89712107,+28.55826467,173.010380622837, 7.33,1.13963919210265,K1III       , 1.033
2948,  4223, ,, ,,,0.89805461,+45.94440000,26.2054507337526,11.11,9.01804183016029,M2          , 1.435
2954,  4232,  5275,, ,,,0.89973401,-48.79137617,179.21146953405, 6.82,0.553170994687894,G8III       , 0.962
2957,  4235,  5197,, ,,,0.90009395,+25.48825331,182.481751824818, 7.26,0.953902792421847,K0III       , 1.061
2959,  4237,  5136,, ,,,0.90139102,+57.01412864,117.785630153121, 7.41,2.05453845121976,F0          , 0.380
2961,  4239,  5110,, ,,,0.90167366,+66.43552948,105.820105820106, 7.05,1.92715904254632,F0          , 0.402
2966,  4246,  5196,, ,,,0.90276818,+32.88844350,290.697674418605, 7.22,-0.0972077871423487,K2          , 1.542
2970,  4254,  5322,, ,,,0.90415225,-57.40311311,1492.53731343284, 7.33,-3.53962598649587,G6/G8II/III , 1.036
2973,  4257,  5268, 255,, 21    Cet, ,0.90488413,-08.74054656,116.279069767442, 6.15,0.822492256217839,G5IV        , 0.911
2976,  4264,  5177,, ,,,0.90831902,+56.31962729,134.048257372654, 7.16,1.52369413736334,A5          , 0.290
2978,  4267,  5267, 254,, 66    Psc, ,0.90978333,+19.18843611,112.612612612613, 5.80,0.542064828893006,A1Vn        ,-0.016
2986,  4283,  4853, 240,,          , ,0.91465655,+83.70746159,75.187969924812, 5.59,1.20925820483543,A4V         , 0.105
2989,  4288,  5286, 258,, 36    And, ,0.91611663,+23.62844595,38.9256520046711, 5.46,2.50882052133173,K1IV        , 1.012
2990,  4289,  5366,, ,,,0.91623098,-45.21989511,187.265917602996, 7.43,1.06770628514278,K2III       , 1.061
2991,  4290,  5294,,Gl  42.1 ,, ,0.91649667,+24.10070725,29.4811320754717,  7.38,5.03227921792338,G5          , 0.652
2992,  4291,  5499,, ,,,0.91653087,-74.30263442,48.9955903968643, 6.68,3.22921502358035,K0IV        , 0.987
2993,  4292,  5234, 253,, 26Ups1Cas, ,0.91672028,+58.97279657,124.688279301746, 4.83,-0.649128158579183,K2III       , 1.216
2994,  4293,  5457, 270,,   Lam2Tuc, ,0.91674982,-69.52697888,64.4329896907217, 5.45,1.40445858461085,G7III       , 1.095
2999,  4298,  5273, 256,,          , ,0.91811783,+48.67854824,246.305418719212, 6.28,-0.677369832114029,M2.5IIIa    , 1.681
3004,  4305,  5258,, ,,,0.91938244,+57.27615030,1010.10101010101, 7.43,-2.59182402701225,K5          , 1.779
3007,  4310,  5349,, ,,,0.91996234,-16.97108089,49.4071146245059, 7.92,4.45105254083881,K0IV        , 0.991
3008,  4311,  5388,, ,,,0.91998863,-47.40553270,53.276505061268, 6.73,3.09732136310673,F6V         , 0.500
3009,  4312, ,, ,,,0.92003097,+00.93295838,43.4593654932638,10.62,7.42958309334322,K2          , 1.150
3014,  4317,  5316, 259,,          , ,0.92073819,+24.55709613,177.304964539007, 6.19,-0.0536044800832878,M4III       , 1.546
3018,  4323,  5336,, ,,,0.92209218,+06.85422733,215.982721382289, 7.37,0.697904955089766,K0          , 1.143
3020,  4326,  5377,, ,,,0.92299149,-24.66019794,154.798761609907, 7.07,1.12116258997542,K0III       , 1.013
3022,  4328, ,,Gl  43   ,, ,0.92363547,-51.83348668,25.2780586450961, 12.36,10.3462814146257,M           , 1.470
3023,  4329,  5328,, ,,,0.92366504,+28.55955760,96.1538461538461, 7.20,2.2851666964939,A5          , 0.201
3035,  4346,  5384, 263,,          , ,0.92844562,-07.34703997,152.905198776758, 5.88,-0.0421112583786627,K5III       , 1.520
3039,  4353,  5425,,NN 3065  ,, ,0.93027539,-29.67637996,30.5157155935307,  9.48,7.05738220691188,K4III       , 1.163
3043,  4360,  5474,, ,,,0.9313747,-53.19241511,167.50418760469, 6.61,0.489871655646846,K1IIICN...  , 1.093
3045,  4363,  5445, 268,,          , ,0.93209156,-27.77582706,571.428571428571, 6.11,-2.67480975656853,M1/M2III    , 1.674
3047,  4365, ,, ,,,0.93237856,-47.14959737,39.8089171974522,11.06,8.06009817532579,M0          , 1.300
3048,  4366,  5382, 262,, 67    Psc, ,0.93292285,+27.20935396,83.7520938023451, 6.08,1.46502163396675,A5IV        , 0.133
3051,  4371,  5437, 267,, 22Phi3Cet, ,0.93375167,-11.26650685,160.25641025641, 5.35,-0.67407705158788,K4III       , 1.505
3053,  4374,  5435,, ,,,0.93392958,-03.73796256,155.52099533437, 7.41,1.45105486462111,F5          , 0.444
3056,  4380,  5442,, ,,,0.93564049,-08.02349884,107.296137339056, 7.44,2.28707956176991,F8          , 0.554
3057,  4382,  5418,, ,,,0.93586728,+13.95196746,153.609831029186, 6.46,0.52790494284096,G8II        , 0.962
3058,  4383,  5343, 260,,          , ,0.9369241,+57.99659583,152.439024390244, 6.20,0.284519196878303,K3III       , 1.376
3063,  4390,  5397,, ,,,0.93744407,+35.22864018,156.00624024961, 6.93,0.964290147594087,A0          , 0.114
3066,  4393,  5372,, ,,,0.93810376,+52.49123259,41.0004100041, 7.53,4.46605900156865,G5          , 0.667
3067,  4394, ,, ,,,0.93867555,-65.44535008,48.9715964740451,10.10,6.65027868875446,K5V         , 0.942
3068,  4395,  5562,, ,,,0.93911907,-63.95878686,44.762757385855, 7.17,3.91541584389795,G8IV        , 0.808
3075,  4411,  5431,, ,,,0.94185677,+42.97881029,252.525252525253, 6.53,-0.481524070372437,K0          , 1.028
3081,  4422,  5395, 265,, 28Ups2Cas, ,0.94444736,+59.18116582,63.1313131313131, 4.62,0.618775886267374,G8III-IV    , 0.957
3084,  4427,  5394, 264,, 27Gam Cas, ,0.9451392,+60.71674966,187.96992481203, 2.15,-4.22044183852476,B0IV:evar   ,-0.046
3092,  4436,  5448, 269,, 37Mu  And, ,0.94586046,+38.49925513,41.7885499373172, 3.86,0.754713493067187,A5V         , 0.130
3095,  4439,  5506,, ,,,0.94635219,-02.72981211,177.304964539007, 6.99,0.746395519916712,F0          , 0.292
3096,  4440,  5408, 266,,          , ,0.94637249,+60.36284769,188.323917137476, 5.56,-0.814527394592654,B8V         ,-0.054
3098,  4442,  5524,, ,,,0.9469679,-25.36336916,135.50135501355, 7.19,1.53028180911521,A2/A3V      , 0.124
3099,  4443, ,, ,,,0.94737364,-11.58825278,23.9635753654445,11.13,9.23224192355855, , 1.430
3101,  4446,  5357, 261,,          , ,0.94860804,+68.77574214,59.7728631201435, 6.39,2.50747970481197,F0m         , 0.375
3102,  4448,  5578,, ,,,0.94871729,-51.87554417,43.5729847494553, 8.99,5.7939134493664,K3/K4V      , 1.020
3103,  4449,  5392,, ,,,0.94873814,+64.53228799,10000000, 6.98,-8.02,F4Iab:      , 0.918
3107,  4454,  5351,,NN 3066  ,, ,0.95090139,+69.04402238,24.1254523522316,  9.10,7.18762267443146,K4V         , 1.025
3113,  4463,  5516, 271,, 38Eta And, ,0.95345215,+23.41775997,74.4047619047619, 4.40,0.0419963435890329,G8III-IV    , 0.940
3116,  4466,  5468,, ,,,0.95400585,+54.95247914,148.588410104012, 7.14,1.28007532111988,A0          , 0.120
3118,  4468, ,, ,,,0.9544925,-51.58429906,29.0697674418605,10.77,8.45279221285765,M0          , 1.300
3122,  4473,  5633,,Gl  45   ,, ,0.95512759,-62.24590709,19.3573364305072,  9.50,8.06577200918649,K7V         , 1.299
3124,  4475,  5459,, ,,,0.95542573,+61.42193312,176.36684303351, 6.44,0.207915294464534,G8IV        , 0.940
3126,  4477,  5492,, ,,,0.95561132,+52.23994300,952.380952380952, 7.10,-2.79405350465031,K2          , 1.650
3127,  4478, ,,Gl  44   ,, ,0.9556569,-01.81556423,47.8927203065134,  9.46,6.05865247165112,K0          , 0.854
3128,  4479,  5811,, ,,,0.95595827,-76.55397974,162.337662337662, 7.39,1.33790356082213,K0III       , 1.086
3130,  4482, ,, ,,,0.95731651,-39.85850948,46.9704086425552,10.00,6.64087830719161, , 0.987
3133,  4486,  5556,, ,,,0.95827505,+21.48625027,118.906064209275, 7.02,1.64397997898956,K2III       , 1.099
3142,  4496,  5617,, ,,,0.96048656,-18.99863300,130.890052356021, 6.92,1.33546679287845,A2V         , 0.082
3145,  4501,  5526, 272,,          , ,0.96100996,+45.83939494,134.770889487871, 6.10,0.452019526395135,K2III       , 1.028
3146,  4500,  5588,, ,,,0.96101401,+01.78558469,316.455696202532, 6.97,-0.53156458690798,G5          , 1.190
3152,  4510,  5575, 274,, 68    Psc, ,0.9639301,+28.99223560,215.982721382289, 5.44,-1.23209504491023,G6III       , 1.076
3153,  4511,  5624,, ,,,0.963945,-01.76597097,192.678227360308, 6.56,0.13583678924229,G5          , 1.004
3154,  4512,  5756,, ,,,0.96447075,-66.56084352,262.46719160105, 7.17,0.0746248783780965,G3III       , 0.823
3159,  4517,  5585,, ,,,0.96492746,+29.52152447,125.944584382872, 7.21,1.70910251213548,K3III       , 1.246
3161,  4519,  5407,, ,,,0.96507635,+75.49389094,150.602409638554, 7.49,1.60084039684009,A0          , 0.140
3162,  4520,  5612, 276,,          , ,0.96514315,+13.69587909,160.25641025641, 6.30,0.27592294841212,G8III       , 0.895
3164,  4523,  5554,, ,,,0.96549046,+52.13679080,238.095238095238, 7.30,0.416246451989503,A2          , 0.110
3172,  4534,  5582,, ,,,0.96739586,+37.49953172,182.815356489945, 7.39,1.07993663166715,F0          , 0.278
3178,  4540,  5659,, ,,,0.96937001,-15.68279377,58.4453535943892, 7.07,3.2362500477055,A:+...      , 0.455
3179,  4542,  5597,, ,,,0.96941123,+39.47544065,189.753320683112, 6.55,0.159053076062734,K0          , 1.152
3184,  4550,  5490,, ,,,0.9701962,+70.49636927,238.663484486874, 6.97,0.0810701148314772,B9          ,-0.054
3186,  4552,  5608, 275,,          , ,0.97060954,+33.95105921,58.173356602676, 5.99,2.16637938343526,K0          , 1.000
3187,  4555,  5596,, ,,,0.97123862,+45.59720588,145.772594752187, 7.23,1.41162057853376,A3          , 0.209
3191,  4558,  5641, 277,,          , ,0.97191612,+21.40450332,131.233595800525, 6.47,0.879774856698003,A2V         , 0.089
3192,  4559,  5654,, ,,,0.9720656,+06.84432756,200, 6.74,0.234850021680096,G5          , 1.063
